# Weather station Nizhny Novgorod (airport), Russia, WMO_ID=27553,selection from 01.01.2021 till 31.12.2021, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=27553&lang=en
#
"Local time in Nizhny Novgorod (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2021 21:00";"-6.6";"749.2";"756.7";"";"90";"Wind blowing from the south";"3";"5";"5";"100%.";"State of sky on the whole unchanged.  Diameter of glaze deposit is 3 mm.";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"10.0";"-8.0";"";"";"";"";"";"";
"31.12.2021 15:00";"-7.3";"752.0";"759.6";"";"89";"Wind blowing from the south";"2";"3";"4";"100%.";"Rain, freezing, slight.  Diameter of glaze deposit is 3 mm.";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"10.0";"-8.8";"";"";"";"";"";"";
"31.12.2021 12:00";"-8.0";"753.5";"761.1";"";"89";"Wind blowing from the south";"3";"4";"4";"100%.";"Rain, freezing, slight.  Diameter of glaze deposit is 3 mm.";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"8.0";"-9.5";"";"";"";"";"";"";
"31.12.2021 09:00";"-8.7";"754.5";"762.1";"";"89";"Wind blowing from the south";"2";"3";"5";"100%.";"Freezing drizzle or freezing rain not falling as shower(s).  Diameter of glaze deposit is 2 mm.";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"10.0";"-10.2";"";"";"";"";"";"";
"31.12.2021 06:00";"-8.8";"755.3";"763.0";"";"92";"Wind blowing from the south-southeast";"2";"4";"4";"100%.";"Drizzle, freezing, slight.  Diameter of glaze deposit is 1 mm.";"Rain.";"Drizzle.";"-9.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"5.0";"-9.9";"Trace of precipitation";"12";"";"";"Even layer of compact or wet snow covering ground completely.";"36.0";
"31.12.2021 03:00";"-8.8";"756.3";"764.0";"";"89";"Wind blowing from the south";"2";"3";"3";"100%.";"Rain, freezing, slight. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"10.0";"-10.3";"";"";"";"";"";"";
"31.12.2021 00:00";"-8.7";"757.3";"765.0";"";"86";"Wind blowing from the south";"2";"3";"4";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-10.7";"";"";"";"";"";"";
"30.12.2021 21:00";"-9.0";"758.1";"765.8";"";"84";"Wind blowing from the south-southeast";"2";"2";"3";"100%.";"State of sky on the whole unchanged. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"-11.3";"";"";"";"";"";"";
"30.12.2021 18:00";"-9.4";"758.6";"766.3";"";"84";"Wind blowing from the south-east";"2";"3";"4";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"-9.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-11.6";"0.3";"12";"";"";"";"";
"30.12.2021 15:00";"-9.4";"759.0";"766.7";"";"84";"Wind blowing from the south-southeast";"2";"3";"5";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Snow and/or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"-11.7";"";"";"";"";"";"";
